,time,wait,com
2018-10-01 03:31:00,1538335860000,0,1000
2018-10-01 03:32:00,1538335920000,0,1000
2018-10-01 03:33:00,1538335980000,0,1000
2018-10-01 03:34:00,1538336040000,0,1000
2018-10-01 03:35:00,1538336100000,0,1000
2018-10-01 03:36:00,1538336160000,0,1000
2018-10-01 03:39:00,1538336340000,0,1000
2018-10-01 03:40:00,1538336400000,0,1000
2018-10-01 03:41:00,1538336460000,0,1000
2018-10-01 03:43:00,1538336580000,0,1000
2018-10-01 03:44:00,1538336640000,0,1000
2018-10-01 03:45:00,1538336700000,0,1000
2018-10-01 03:46:00,1538336760000,0,1000
2018-10-01 03:47:00,1538336820000,0,1000
2018-10-01 03:50:00,1538337000000,0,1000
2018-10-01 03:51:00,1538337060000,0,1000
2018-10-01 03:52:00,1538337120000,0,1000
2018-10-01 03:55:00,1538337300000,4290,4290
2018-10-01 03:56:00,1538337360000,0,1000
2018-10-01 03:57:00,1538337420000,0,1000
2018-10-01 03:58:00,1538337480000,0,1000
2018-10-01 03:59:00,1538337540000,0,6158
2018-10-01 04:00:00,1538337600000,0,1000
2018-10-01 04:01:00,1538337660000,0,1000
2018-10-01 04:02:00,1538337720000,0,1000
2018-10-01 04:04:00,1538337840000,0,1000
2018-10-01 04:07:00,1538338020000,0,1000
2018-10-01 04:08:00,1538338080000,2607,2607
2018-10-01 04:09:00,1538338140000,0,1000
2018-10-01 04:10:00,1538338200000,0,1000
2018-10-01 04:12:00,1538338320000,0,1000
2018-10-01 04:13:00,1538338380000,0,1000
2018-10-01 04:14:00,1538338440000,0,1000
2018-10-01 04:15:00,1538338500000,0,6393
2018-10-01 04:16:00,1538338560000,0,1000
2018-10-01 04:17:00,1538338620000,0,1000
2018-10-01 04:19:00,1538338740000,0,1000
2018-10-01 04:20:00,1538338800000,2607,2607
2018-10-01 04:21:00,1538338860000,0,1000
2018-10-01 04:22:00,1538338920000,0,1000
2018-10-01 04:23:00,1538338980000,0,1000
2018-10-01 04:24:00,1538339040000,0,1000
2018-10-01 04:25:00,1538339100000,0,1000
2018-10-01 04:27:00,1538339220000,0,1000
2018-10-01 04:28:00,1538339280000,0,1000
2018-10-01 04:29:00,1538339340000,0,1000
2018-10-01 04:30:00,1538339400000,1219,1219
2018-10-01 04:31:00,1538339460000,0,1000
2018-10-01 04:32:00,1538339520000,0,1000
2018-10-01 04:33:00,1538339580000,0,1000
2018-10-01 04:34:00,1538339640000,33,1000
2018-10-01 04:35:00,1538339700000,0,1000
2018-10-01 04:36:00,1538339760000,946,6481
2018-10-01 04:37:00,1538339820000,0,1000
2018-10-01 04:38:00,1538339880000,384,1000
2018-10-01 04:39:00,1538339940000,4906,4906
2018-10-01 04:40:00,1538340000000,0,1000
2018-10-01 04:41:00,1538340060000,0,1000
2018-10-01 04:42:00,1538340120000,0,1000
2018-10-01 04:43:00,1538340180000,0,1000
2018-10-01 04:44:00,1538340240000,0,1000
2018-10-01 04:45:00,1538340300000,2006,2006
2018-10-01 04:46:00,1538340360000,4975,4975
2018-10-01 04:47:00,1538340420000,941,1000
2018-10-01 04:48:00,1538340480000,3128,3128
2018-10-01 04:49:00,1538340540000,0,1000
2018-10-01 04:50:00,1538340600000,4860,4860
2018-10-01 04:51:00,1538340660000,728,1000
2018-10-01 04:52:00,1538340720000,0,6579
2018-10-01 04:53:00,1538340780000,0,1000
2018-10-01 04:54:00,1538340840000,536,1000
2018-10-01 04:55:00,1538340900000,0,1000
2018-10-01 04:56:00,1538340960000,4860,4860
2018-10-01 04:57:00,1538341020000,0,1000
2018-10-01 04:58:00,1538341080000,1959,1959
2018-10-01 04:59:00,1538341140000,0,1000
2018-10-01 05:00:00,1538341200000,0,1000
2018-10-01 05:01:00,1538341260000,153,1000
2018-10-01 05:02:00,1538341320000,0,1000
2018-10-01 05:03:00,1538341380000,0,1000
2018-10-01 05:04:00,1538341440000,0,1000
2018-10-01 05:05:00,1538341500000,499,3330
2018-10-01 05:06:00,1538341560000,0,6042
2018-10-01 05:07:00,1538341620000,3208,3208
2018-10-01 05:08:00,1538341680000,0,1000
2018-10-01 05:09:00,1538341740000,4301,4301
2018-10-01 05:10:00,1538341800000,0,1000
2018-10-01 05:11:00,1538341860000,0,1000
2018-10-01 05:12:00,1538341920000,0,1000
2018-10-01 05:13:00,1538341980000,0,1000
2018-10-01 05:14:00,1538342040000,0,1000
2018-10-01 05:15:00,1538342100000,0,1000
2018-10-01 05:16:00,1538342160000,0,1000
2018-10-01 05:17:00,1538342220000,514,2251
2018-10-01 05:18:00,1538342280000,2565,2565
2018-10-01 05:19:00,1538342340000,0,1000
2018-10-01 05:20:00,1538342400000,340,4516
2018-10-01 05:21:00,1538342460000,4262,4262
2018-10-01 05:22:00,1538342520000,0,1000
2018-10-01 05:23:00,1538342580000,2088,2088
2018-10-01 05:24:00,1538342640000,362,1000
2018-10-01 05:25:00,1538342700000,0,6905
2018-10-01 05:26:00,1538342760000,1558,1558
2018-10-01 05:27:00,1538342820000,1387,1387
2018-10-01 05:28:00,1538342880000,2987,2987
2018-10-01 05:29:00,1538342940000,0,1000
2018-10-01 05:30:00,1538343000000,0,1000
2018-10-01 05:31:00,1538343060000,0,1000
2018-10-01 05:32:00,1538343120000,0,1000
2018-10-01 05:33:00,1538343180000,5437,5437
2018-10-01 05:34:00,1538343240000,0,1000
2018-10-01 05:35:00,1538343300000,0,1000
2018-10-01 05:36:00,1538343360000,4290,4290
2018-10-01 05:37:00,1538343420000,0,1000
2018-10-01 05:38:00,1538343480000,3529,3529
2018-10-01 05:39:00,1538343540000,0,1000
2018-10-01 05:40:00,1538343600000,2821,2821
2018-10-01 05:41:00,1538343660000,3842,3842
2018-10-01 05:42:00,1538343720000,3127,3127
2018-10-01 05:43:00,1538343780000,4580,4580
2018-10-01 05:44:00,1538343840000,2172,2172
2018-10-01 05:45:00,1538343900000,4145,4145
2018-10-01 05:46:00,1538343960000,1735,1735
2018-10-01 05:47:00,1538344020000,670,1000
2018-10-01 05:48:00,1538344080000,373,1000
2018-10-01 05:49:00,1538344140000,0,1000
2018-10-01 05:50:00,1538344200000,3644,3644
2018-10-01 05:51:00,1538344260000,3454,3454
2018-10-01 05:52:00,1538344320000,0,1000
2018-10-01 05:53:00,1538344380000,1424,1424
2018-10-01 05:54:00,1538344440000,0,1000
2018-10-01 05:55:00,1538344500000,1188,1188
2018-10-01 05:56:00,1538344560000,210,1151
2018-10-01 05:57:00,1538344620000,0,1000
2018-10-01 05:58:00,1538344680000,913,4839
2018-10-01 05:59:00,1538344740000,0,1000
2018-10-01 06:00:00,1538344800000,3388,3388
2018-10-01 06:01:00,1538344860000,1695,1695
2018-10-01 06:02:00,1538344920000,29,2712
2018-10-01 06:03:00,1538344980000,1132,1132
2018-10-01 06:04:00,1538345040000,0,1000
2018-10-01 06:05:00,1538345100000,1832,1832
2018-10-01 06:06:00,1538345160000,1003,1003
2018-10-01 06:07:00,1538345220000,540,5036
2018-10-01 06:08:00,1538345280000,35,1619
2018-10-01 06:09:00,1538345340000,0,1000
2018-10-01 06:10:00,1538345400000,1553,1553
2018-10-01 06:11:00,1538345460000,2014,2014
2018-10-01 06:12:00,1538345520000,1054,1054
2018-10-01 06:13:00,1538345580000,2501,2501
2018-10-01 06:14:00,1538345640000,1647,1647
2018-10-01 06:15:00,1538345700000,587,3574
2018-10-01 06:16:00,1538345760000,2176,2176
2018-10-01 06:17:00,1538345820000,4339,4339
2018-10-01 06:18:00,1538345880000,372,1000
2018-10-01 06:19:00,1538345940000,1984,1984
2018-10-01 06:20:00,1538346000000,986,1000
2018-10-01 06:21:00,1538346060000,3016,3016
