,time,wait,com
2017-10-01 03:09:00,1506798540000,120000,120000.0
2017-10-01 03:10:00,1506798600000,120000,120000.0
2017-10-01 03:13:00,1506798780000,120000,120000.0
2017-10-01 03:16:00,1506798960000,39000,120000.0
2017-10-01 03:17:00,1506799020000,46000,120000.0
2017-10-01 03:18:00,1506799080000,85000,120000.0
2017-10-01 03:20:00,1506799200000,120000,120000.0
2017-10-01 03:23:00,1506799380000,53000,120000.0
2017-10-01 03:24:00,1506799440000,87000,120000.0
2017-10-01 03:25:00,1506799500000,120000,120000.0
2017-10-01 03:26:00,1506799560000,74000,120000.0
2017-10-01 03:28:00,1506799680000,93000,120000.0
2017-10-01 03:30:00,1506799800000,120000,120000.0
2017-10-01 03:31:00,1506799860000,120000,120000.0
2017-10-01 03:33:00,1506799980000,35000,120000.0
2017-10-01 03:34:00,1506800040000,80000,120000.0
2017-10-01 03:36:00,1506800160000,114000,120000.0
2017-10-01 03:38:00,1506800280000,120000,120000.0
2017-10-01 03:40:00,1506800400000,23000,120000.0
2017-10-01 03:41:00,1506800460000,125000,120000.0
2017-10-01 03:42:00,1506800520000,65000,120000.0
2017-10-01 03:44:00,1506800640000,120000,120000.0
2017-10-01 03:46:00,1506800760000,43000,120000.0
2017-10-01 03:47:00,1506800820000,88000,120000.0
2017-10-01 03:49:00,1506800940000,120000,120000.0
2017-10-01 03:50:00,1506801000000,120000,120000.0
2017-10-01 03:51:00,1506801060000,120000,120000.0
2017-10-01 03:55:00,1506801300000,45000,120000.0
2017-10-01 03:56:00,1506801360000,15000,120000.0
2017-10-01 03:57:00,1506801420000,121000,120000.0
2017-10-01 04:00:00,1506801600000,120000,120000.0
2017-10-01 04:03:00,1506801780000,120000,120000.0
2017-10-01 04:05:00,1506801900000,60000,120000.0
2017-10-01 04:06:00,1506801960000,120000,120000.0
2017-10-01 04:07:00,1506802020000,120000,120000.0
2017-10-01 04:10:00,1506802200000,120000,120000.0
2017-10-01 04:13:00,1506802380000,120000,120000.0
2017-10-01 04:15:00,1506802500000,49000,120000.0
2017-10-01 04:16:00,1506802560000,120000,120000.0
2017-10-01 04:18:00,1506802680000,116000,120000.0
2017-10-01 04:20:00,1506802800000,109000,120000.0
2017-10-01 04:22:00,1506802920000,26000,120000.0
2017-10-01 04:23:00,1506802980000,45000,120000.0
2017-10-01 04:24:00,1506803040000,120000,120000.0
2017-10-01 04:28:00,1506803280000,120000,120000.0
2017-10-01 04:32:00,1506803520000,19000,120000.0
2017-10-01 04:33:00,1506803580000,120000,120000.0
2017-10-01 04:37:00,1506803820000,80000,120000.0
2017-10-01 04:39:00,1506803940000,120000,120000.0
2017-10-01 04:43:00,1506804180000,103000,120000.0
2017-10-01 04:45:00,1506804300000,120000,120000.0
2017-10-01 04:50:00,1506804600000,120000,120000.0
2017-10-01 04:53:00,1506804780000,24000,120000.0
2017-10-01 04:54:00,1506804840000,120000,120000.0
2017-10-01 04:55:00,1506804900000,71000,120000.0
2017-10-01 04:57:00,1506805020000,120000,120000.0
2017-10-01 05:00:00,1506805200000,10000,120000.0
2017-10-01 05:01:00,1506805260000,81000,120000.0
2017-10-01 05:03:00,1506805380000,50000,120000.0
2017-10-01 05:04:00,1506805440000,41000,120000.0
2017-10-01 05:05:00,1506805500000,45000,120000.0
2017-10-01 05:06:00,1506805560000,120000,120000.0
2017-10-01 05:08:00,1506805680000,120000,120000.0
2017-10-01 05:11:00,1506805860000,47000,120000.0
2017-10-01 05:12:00,1506805920000,96000,120000.0
2017-10-01 05:14:00,1506806040000,27000,120000.0
2017-10-01 05:15:00,1506806100000,120000,120000.0
2017-10-01 05:21:00,1506806460000,30000,120000.0
2017-10-01 05:22:00,1506806520000,120000,120000.0
2017-10-01 05:26:00,1506806760000,41000,120000.0
2017-10-01 05:27:00,1506806820000,70000,120000.0
2017-10-01 05:28:00,1506806880000,10000,120000.0
2017-10-01 05:29:00,1506806940000,126000,120000.0
2017-10-01 05:31:00,1506807060000,6000,120000.0
2017-10-01 05:32:00,1506807120000,68000,120000.0
2017-10-01 05:34:00,1506807240000,120000,120000.0
2017-10-01 05:38:00,1506807480000,73000,120000.0
2017-10-01 05:40:00,1506807600000,29000,120000.0
2017-10-01 05:41:00,1506807660000,58000,120000.0
2017-10-01 05:42:00,1506807720000,120000,120000.0
2017-10-01 05:45:00,1506807900000,45000,120000.0
2017-10-01 05:46:00,1506807960000,42000,120000.0
2017-10-01 05:47:00,1506808020000,103000,120000.0
2017-10-01 05:49:00,1506808140000,120000,120000.0
2017-10-01 05:53:00,1506808380000,108000,120000.0
2017-10-01 05:55:00,1506808500000,84000,120000.0
2017-10-01 05:57:00,1506808620000,52000,120000.0
2017-10-01 05:58:00,1506808680000,67000,120000.0
2017-10-01 05:59:00,1506808740000,7000,120000.0
2017-10-01 06:00:00,1506808800000,119000,120000.0
2017-10-01 06:02:00,1506808920000,96000,120000.0
2017-10-01 06:04:00,1506809040000,120000,120000.0
2017-10-01 06:05:00,1506809100000,107000,120000.0
2017-10-01 06:07:00,1506809220000,120000,120000.0
2017-10-01 06:08:00,1506809280000,74000,120000.0
2017-10-01 06:10:00,1506809400000,52000,120000.0
2017-10-01 06:11:00,1506809460000,50000,120000.0
2017-10-01 06:12:00,1506809520000,113000,120000.0
2017-10-01 06:14:00,1506809640000,120000,120000.0
2017-10-01 06:17:00,1506809820000,83000,120000.0
2017-10-01 06:18:00,1506809880000,88000,120000.0
2017-10-01 06:19:00,1506809940000,112000,120000.0
2017-10-01 06:20:00,1506810000000,52000,120000.0
2017-10-01 06:21:00,1506810060000,79000,120000.0
2017-10-01 06:23:00,1506810180000,90000,120000.0
2017-10-01 06:24:00,1506810240000,100000,120000.0
2017-10-01 06:25:00,1506810300000,40000,120000.0
2017-10-01 06:26:00,1506810360000,65000,120000.0
2017-10-01 06:27:00,1506810420000,60000,120000.0
2017-10-01 06:28:00,1506810480000,87000,120000.0
2017-10-01 06:29:00,1506810540000,27000,120000.0
2017-10-01 06:30:00,1506810600000,82000,120000.0
2017-10-01 06:32:00,1506810720000,120000,120000.0
2017-10-01 06:33:00,1506810780000,105000,120000.0
2017-10-01 06:35:00,1506810900000,76000,120000.0
2017-10-01 06:36:00,1506810960000,43000,120000.0
2017-10-01 06:37:00,1506811020000,40000,120000.0
2017-10-01 06:38:00,1506811080000,125000,120000.0
2017-10-01 06:41:00,1506811260000,74000,120000.0
2017-10-01 06:42:00,1506811320000,111000,120000.0
2017-10-01 06:43:00,1506811380000,51000,120000.0
2017-10-01 06:44:00,1506811440000,65000,120000.0
2017-10-01 06:45:00,1506811500000,120000,120000.0
2017-10-01 06:46:00,1506811560000,84000,120000.0
2017-10-01 06:48:00,1506811680000,126000,120000.0
2017-10-01 06:49:00,1506811740000,66000,120000.0
2017-10-01 06:50:00,1506811800000,54000,120000.0
2017-10-01 06:51:00,1506811860000,75000,120000.0
2017-10-01 06:53:00,1506811980000,57000,120000.0
2017-10-01 06:54:00,1506812040000,73000,120000.0
2017-10-01 06:55:00,1506812100000,113000,120000.0
2017-10-01 06:56:00,1506812160000,53000,120000.0
2017-10-01 06:57:00,1506812220000,68000,120000.0
2017-10-01 06:58:00,1506812280000,30000,120000.0
2017-10-01 06:59:00,1506812340000,80000,120000.0
2017-10-01 07:00:00,1506812400000,120000,120000.0
2017-10-01 07:01:00,1506812460000,75000,120000.0
2017-10-01 07:02:00,1506812520000,61000,120000.0
2017-10-01 07:03:00,1506812580000,71000,120000.0
2017-10-01 07:04:00,1506812640000,91000,120000.0
2017-10-01 07:05:00,1506812700000,60000,120000.0
2017-10-01 07:06:00,1506812760000,124000,120000.0
2017-10-01 07:07:00,1506812820000,64000,120000.0
2017-10-01 07:08:00,1506812880000,46000,120000.0
2017-10-01 07:09:00,1506812940000,120000,120000.0
2017-10-01 07:10:00,1506813000000,120000,120000.0
2017-10-01 07:11:00,1506813060000,81000,120000.0
2017-10-01 07:12:00,1506813120000,95000,120000.0
2017-10-01 07:13:00,1506813180000,120000,120000.0
2017-10-01 07:14:00,1506813240000,91000,120000.0
2017-10-01 07:15:00,1506813300000,103000,120000.0
2017-10-01 07:16:00,1506813360000,120000,120000.0
2017-10-01 07:17:00,1506813420000,79000,120000.0
2017-10-01 07:18:00,1506813480000,65000,120000.0
2017-10-01 07:19:00,1506813540000,87000,120000.0
2017-10-01 07:20:00,1506813600000,47000,120000.0
2017-10-01 07:21:00,1506813660000,120000,120000.0
2017-10-01 07:22:00,1506813720000,120000,120000.0
2017-10-01 07:24:00,1506813840000,44000,120000.0
2017-10-01 07:25:00,1506813900000,81000,120000.0
2017-10-01 07:26:00,1506813960000,64000,120000.0
2017-10-01 07:27:00,1506814020000,49000,120000.0
2017-10-01 07:28:00,1506814080000,111000,120000.0
2017-10-01 07:29:00,1506814140000,51000,120000.0
2017-10-01 07:30:00,1506814200000,59000,120000.0
2017-10-01 07:31:00,1506814260000,48000,120000.0
2017-10-01 07:32:00,1506814320000,58000,120000.0
2017-10-01 07:33:00,1506814380000,59000,120000.0
2017-10-01 07:34:00,1506814440000,73000,120000.0
2017-10-01 07:35:00,1506814500000,71000,120000.0
2017-10-01 07:36:00,1506814560000,108000,120000.0
2017-10-01 07:37:00,1506814620000,48000,120000.0
2017-10-01 07:38:00,1506814680000,69000,120000.0
2017-10-01 07:39:00,1506814740000,95000,120000.0
2017-10-01 07:40:00,1506814800000,120000,120000.0
2017-10-01 07:41:00,1506814860000,89000,120000.0
2017-10-01 07:42:00,1506814920000,120000,120000.0
2017-10-01 07:43:00,1506814980000,88000,120000.0
2017-10-01 07:44:00,1506815040000,120000,120000.0
2017-10-01 07:45:00,1506815100000,90000,120000.0
2017-10-01 07:46:00,1506815160000,52000,120000.0
2017-10-01 07:47:00,1506815220000,46000,120000.0
2017-10-01 07:48:00,1506815280000,120000,120000.0
2017-10-01 07:50:00,1506815400000,125000,120000.0
2017-10-01 07:51:00,1506815460000,65000,120000.0
2017-10-01 07:52:00,1506815520000,118000,120000.0
2017-10-01 07:53:00,1506815580000,58000,120000.0
2017-10-01 07:54:00,1506815640000,87000,120000.0
2017-10-01 07:55:00,1506815700000,79000,120000.0
2017-10-01 07:56:00,1506815760000,91000,120000.0
2017-10-01 07:57:00,1506815820000,103000,120000.0
2017-10-01 07:58:00,1506815880000,92000,120000.0
2017-10-01 07:59:00,1506815940000,67000,120000.0
2017-10-01 08:00:00,1506816000000,120000,120000.0
2017-10-01 08:01:00,1506816060000,89000,120000.0
2017-10-01 08:02:00,1506816120000,115000,120000.0
2017-10-01 08:03:00,1506816180000,55000,120000.0
2017-10-01 08:04:00,1506816240000,120000,120000.0
2017-10-01 08:06:00,1506816360000,106000,120000.0
2017-10-01 08:07:00,1506816420000,77000,120000.0
2017-10-01 08:08:00,1506816480000,56000,120000.0
2017-10-01 08:09:00,1506816540000,96000,120000.0
2017-10-01 08:10:00,1506816600000,66000,120000.0
2017-10-01 08:11:00,1506816660000,74000,120000.0
2017-10-01 08:12:00,1506816720000,52000,120000.0
2017-10-01 08:13:00,1506816780000,92000,120000.0
2017-10-01 08:14:00,1506816840000,120000,120000.0
2017-10-01 08:15:00,1506816900000,120000,120000.0
2017-10-01 08:17:00,1506817020000,72000,120000.0
2017-10-01 08:18:00,1506817080000,53000,120000.0
2017-10-01 08:19:00,1506817140000,96000,120000.0
2017-10-01 08:20:00,1506817200000,90000,120000.0
2017-10-01 08:21:00,1506817260000,109000,120000.0
2017-10-01 08:22:00,1506817320000,70000,120000.0
2017-10-01 08:23:00,1506817380000,55000,120000.0
2017-10-01 08:24:00,1506817440000,70000,120000.0
2017-10-01 08:25:00,1506817500000,55000,120000.0
2017-10-01 08:26:00,1506817560000,93000,120000.0
2017-10-01 08:27:00,1506817620000,120000,120000.0
2017-10-01 08:28:00,1506817680000,83000,120000.0
2017-10-01 08:29:00,1506817740000,120000,120000.0
2017-10-01 08:30:00,1506817800000,76000,120000.0
2017-10-01 08:31:00,1506817860000,52000,120000.0
2017-10-01 08:32:00,1506817920000,108000,120000.0
2017-10-01 08:33:00,1506817980000,120000,120000.0
2017-10-01 08:34:00,1506818040000,75000,120000.0
2017-10-01 08:35:00,1506818100000,77000,120000.0
2017-10-01 08:36:00,1506818160000,50000,120000.0
2017-10-01 08:37:00,1506818220000,120000,120000.0
2017-10-01 08:39:00,1506818340000,120000,120000.0
2017-10-01 08:40:00,1506818400000,70000,120000.0
2017-10-01 08:41:00,1506818460000,65000,120000.0
2017-10-01 08:42:00,1506818520000,88000,120000.0
2017-10-01 08:43:00,1506818580000,52000,120000.0
2017-10-01 08:44:00,1506818640000,83000,120000.0
